,segment,length,mass,length_px,px_to_cm
0,head,32.0,5.86,431.0452412450461,0.07423814703897458
1,body,58.0,36.97,764.0844194197392,0.07590784280622598
2,arm,25.0,2.29,334.6788556933757,0.07469847459650802
3,forearm,26.0,1.36,369.4194655462793,0.07038069843329041
4,hand,25.0,0.51,229.94004335356578,0.10872399446128188
5,thigh,45.0,12.07,560.255478333189,0.08032049973679703
6,shank,44.0,3.65,500.47402992675035,0.08791664975391403
7,feet,30.0,1.19,200.9975124224178,0.14925557853149837
